Offence Date,Other Theft (excl. Unlawful Entry)
Nov 2019,3197
Dec 2019,3518
Jan 2020,3945
Feb 2020,3678
Mar 2020,3652
Apr 2020,2378
May 2020,2246
Jun 2020,2204
Jul 2020,2231
Aug 2020,2347
Sep 2020,2594
Oct 2020,2646
Nov 2020,2529
Dec 2020,2847
Jan 2021,2792
Feb 2021,2710
Mar 2021,2843
Apr 2021,2571
May 2021,2985
Jun 2021,2766
Jul 2021,2726
Aug 2021,2636
Sep 2021,2936
Oct 2021,2938
Nov 2021,3201
Dec 2021,2824
Jan 2022,3073
Feb 2022,2925
Mar 2022,2906
Apr 2022,2698
May 2022,3215
Jun 2022,3101
Jul 2022,3155
Aug 2022,3273
Sep 2022,3248
Oct 2022,3643
Nov 2022,3959
Dec 2022,4125
Jan 2023,4013
Feb 2023,3654
Mar 2023,3889
Apr 2023,3676
May 2023,3937
Jun 2023,3799
Jul 2023,3542
Aug 2023,3563
Sep 2023,3633
Oct 2023,3853
Nov 2023,3444
Dec 2023,3748
Jan 2024,4092
Feb 2024,3940
Mar 2024,3692
Apr 2024,3745
May 2024,3815
Jun 2024,3850
Jul 2024,3369
Aug 2024,3566
