Offence Date,All Offences
Nov 2019,4534
Dec 2019,4097
Jan 2020,4492
Feb 2020,3971
Mar 2020,4264
Apr 2020,3664
May 2020,3820
Jun 2020,3708
Jul 2020,3806
Aug 2020,3904
Sep 2020,3859
Oct 2020,3865
Nov 2020,4335
Dec 2020,3752
Jan 2021,4109
Feb 2021,3744
Mar 2021,4271
Apr 2021,4336
May 2021,4387
Jun 2021,4331
Jul 2021,4507
Aug 2021,4890
Sep 2021,4687
Oct 2021,4556
Nov 2021,4349
Dec 2021,4025
Jan 2022,3916
Feb 2022,4211
Mar 2022,4680
Apr 2022,4274
May 2022,4367
Jun 2022,3959
Jul 2022,4268
Aug 2022,4541
Sep 2022,4196
Oct 2022,4692
Nov 2022,4735
Dec 2022,4509
Jan 2023,5147
Feb 2023,4447
Mar 2023,4809
Apr 2023,4383
May 2023,4209
Jun 2023,4508
Jul 2023,4671
Aug 2023,4879
Sep 2023,4588
Oct 2023,4653
Nov 2023,5016
Dec 2023,4803
Jan 2024,5227
Feb 2024,4641
Mar 2024,4892
Apr 2024,4679
May 2024,4575
Jun 2024,4742
Jul 2024,4852
Aug 2024,4784
