Offence Date,Other Theft (excl. Unlawful Entry)
Nov 2019,250.483
Dec 2019,236.22
Jan 2020,283.646
Feb 2020,259.462
Mar 2020,243.569
Apr 2020,140.614
May 2020,103.647
Jun 2020,112.975
Jul 2020,116.775
Aug 2020,122.303
Sep 2020,127.485
Oct 2020,128.522
Nov 2020,147.524
Dec 2020,128.867
Jan 2021,170.949
Feb 2021,141.998
Mar 2021,150.959
Apr 2021,158.541
May 2021,184.735
Jun 2021,173.361
Jul 2021,191.973
Aug 2021,201.968
Sep 2021,199.211
Oct 2021,209.206
Nov 2021,225.06
Dec 2021,209.206
Jan 2022,239.589
Feb 2022,177.99
Mar 2022,238.568
Apr 2022,209.3
May 2022,219.51
Jun 2022,268.176
Jul 2022,210.661
Aug 2022,229.72
Sep 2022,283.831
Oct 2022,274.302
Nov 2022,254.563
Dec 2022,235.505
Jan 2023,237.575
Feb 2023,214.487
Mar 2023,255.644
Apr 2023,267.021
May 2023,257.317
Jun 2023,251.294
Jul 2023,237.24
Aug 2023,238.579
Sep 2023,259.66
Oct 2023,253.637
Nov 2023,216.16
Dec 2023,192.068
Jan 2024,202.719
Feb 2024,213.25
Mar 2024,251.424
Apr 2024,222.793
May 2024,248.462
Jun 2024,255.373
Jul 2024,242.209
Aug 2024,243.855
