Offence Date,Other Theft (excl. Unlawful Entry)
Nov 2019,218.121
Dec 2019,220.379
Jan 2020,230.386
Feb 2020,204.664
Mar 2020,189.268
Apr 2020,129.99
May 2020,116.53
Jun 2020,115.792
Jul 2020,116.898
Aug 2020,114.87
Sep 2020,129.252
Oct 2020,152.3
Nov 2020,132.018
Dec 2020,132.479
Jan 2021,132.121
Feb 2021,132.664
Mar 2021,143.885
Apr 2021,132.754
May 2021,148.138
Jun 2021,141.804
Jul 2021,137.279
Aug 2021,144.156
Sep 2021,147.686
Oct 2021,141.894
Nov 2021,147.505
Dec 2021,148.5
Jan 2022,139.711
Feb 2022,132.915
Mar 2022,142.888
Apr 2022,130.091
May 2022,142.006
Jun 2022,155.95
Jul 2022,150.567
Aug 2022,156.921
Sep 2022,164.953
Oct 2022,187.017
Nov 2022,191.077
Dec 2022,177.75
Jan 2023,189.381
Feb 2023,176.394
Mar 2023,183.619
Apr 2023,191.101
May 2023,202.196
Jun 2023,170.546
Jul 2023,180.093
Aug 2023,174.416
Sep 2023,162.892
Oct 2023,190.069
Nov 2023,182.243
Dec 2023,175.62
Jan 2024,174.016
Feb 2024,174.603
Mar 2024,172.003
Apr 2024,167.475
May 2024,182.989
Jun 2024,162.611
Jul 2024,164.288
Aug 2024,171.752
