Offence Date,All Offences
Nov 2019,9651
Dec 2019,9513
Jan 2020,10046
Feb 2020,8756
Mar 2020,9503
Apr 2020,7351
May 2020,7613
Jun 2020,7642
Jul 2020,7881
Aug 2020,8314
Sep 2020,7645
Oct 2020,7720
Nov 2020,7606
Dec 2020,7328
Jan 2021,7580
Feb 2021,7160
Mar 2021,8519
Apr 2021,7685
May 2021,8274
Jun 2021,7484
Jul 2021,8086
Aug 2021,7845
Sep 2021,7960
Oct 2021,8599
Nov 2021,8110
Dec 2021,7827
Jan 2022,7819
Feb 2022,7680
Mar 2022,8697
Apr 2022,7898
May 2022,8433
Jun 2022,8394
Jul 2022,8603
Aug 2022,9034
Sep 2022,8488
Oct 2022,9447
Nov 2022,9900
Dec 2022,10430
Jan 2023,10123
Feb 2023,9686
Mar 2023,10405
Apr 2023,8995
May 2023,9940
Jun 2023,9392
Jul 2023,10242
Aug 2023,10211
Sep 2023,9869
Oct 2023,10107
Nov 2023,10850
Dec 2023,9963
Jan 2024,10945
Feb 2024,10218
Mar 2024,10500
Apr 2024,10164
May 2024,10383
Jun 2024,10109
Jul 2024,10217
Aug 2024,9926
