Offence Date,All Offences
Nov 2019,6260
Dec 2019,6713
Jan 2020,6326
Feb 2020,5784
Mar 2020,5453
Apr 2020,4510
May 2020,5226
Jun 2020,5418
Jul 2020,5704
Aug 2020,5212
Sep 2020,5029
Oct 2020,5705
Nov 2020,5652
Dec 2020,5071
Jan 2021,5085
Feb 2021,5126
Mar 2021,5393
Apr 2021,4883
May 2021,5405
Jun 2021,5335
Jul 2021,5521
Aug 2021,5531
Sep 2021,5339
Oct 2021,5498
Nov 2021,5487
Dec 2021,5176
Jan 2022,5156
Feb 2022,5266
Mar 2022,6526
Apr 2022,5352
May 2022,5784
Jun 2022,5658
Jul 2022,5961
Aug 2022,6293
Sep 2022,5729
Oct 2022,6440
Nov 2022,7157
Dec 2022,6682
Jan 2023,6661
Feb 2023,6362
Mar 2023,7007
Apr 2023,6392
May 2023,6280
Jun 2023,5961
Jul 2023,5726
Aug 2023,6188
Sep 2023,5654
Oct 2023,6564
Nov 2023,6060
Dec 2023,5985
Jan 2024,6607
Feb 2024,6440
Mar 2024,6297
Apr 2024,5685
May 2024,6252
Jun 2024,6074
Jul 2024,6158
Aug 2024,6554
